question,answer
how do you prevent freckles and dark patches or age spots on the face,avoid direct sunlight between the peak hours 11 a m to 2 p m sunblock is probably your best approach to avoid premature aging and dark spots your skin regimen should include steps to exfoliate and get rid of dead skin cells hydrate and rejuvenate with natural amino acids or peptides
are you contagious after a fever breaks,the presence or absence of a fever does not have anything to do with whether you are contagious or not a fever is usually caused by the body trying to fight something off but there may be active virus or whatever the disease is caused by in the body after it is over a lot depends on what the disease is exactly too
30weeks pregnant have dry nipples what can i put on them,there is a special lanolin cream for that purpose brand name of masse may not be correct spelling however cream your pharmacist can help you find this one or an equivalent one your prepared childbirth teacher or ob is another source of information
can a baby hide from and ultra sound and a dopplar when trying to hear it hear beat,no the baby has no where to hide
can a hernia in my stomach untie my tubes and cause me to be pregant,no no type of hernia would be able to untie your tied tubes and cause you to become pregnant tubes are not just tied they are usually cut cauterized burned and separated the remote chance of them becoming viable again would be astronomical the only stomach hernias are hiatal they are no where near your sterilized fallopian tubes you are safe
does the parasite that causes malaria live in stagnant water,no the organism that causes malaria lives inside the blood of a certain type of mosquito and these insects love living around stagnant water
type your question here my husband is dizzy ears have water in them and is blue in the face sleeping a good bit,dizziness can be caused by a number of serious conditions these can include a stroke a heart attack breathing problems or trouble with blood sugar a bluish tint to the skin is also a worry it can mean that a person is not getting enough oxygen someone with these symptoms should call 911 right away
could sciatica be caused by a pinched sciatic nerve during a hysterectomy 30 years ago,no the surgical area for a hysterectomy is no where near the sciatic nerve or your spine in the last 30 years since your surgery you most likely developed some degenerative disc disease andor arthritis that has lead to your sciatica
my skin is irritated after i treated a flea infestation in my hair with kerosene how can i reduce skin irritation,i would not recommend applying kerosene to the skin i would recommend you see your dermatologist to evaluate the extent of the irritation and determine the right treatment plan for you
i think i got pregnant on 10 10 12 its no 10 19 12 can i take a pregnancy test now or wait longer,i would wait to take a test until the actual day of your expected period then take one if negitive take another the following week
what is sinusitis,sinusitis is an inflammation or infection of the membranes lining the sinuses symptoms include pain and pressure with a runny or stuffy nose
can tea tree oil help with wrinkles and lines on the face,tea tree oil is considered an essential oil obtained from the leaves of melaleuca alternifolia trees it has been investigated for its potentially anti inflammatory anti fungal anti microbial anti viral and anti parasitic properties the research is still limited for demonstrating its ability to fight off wrinkles
i love to go skiing but how do it treat chapped and dry skin,apply a richer and creamier moisturizer make sure to look for one that also as an spf of at least 30 since the uv rays are more intense at higher altitudes also look for sunscreen that is broad spectrum and has uvauvb protection
what kind of doctor should be seen who specializes in neropythy severe pain in neck legs and balance problems as well i am 74 and in good health otherwise,a neurologist is a good place to start explain your symptoms when you call for an appointment to make sure this particular neurologist handles your symptoms
i have just been diagnosed with shingles should i avoid events where infants will be present or not have direct contact,yes that would be a good idea shingles will not jump off of you onto someone else so as long as your shingles is well covered by clothing you will pose little risk to most people since babies have not been fully immunized it would be wise not to put them at risk for a herpetic infection
my health insurance through my employer is too expensive can i use the marketplace or do i have to take my employer is insurance,you can buy a plan through the marketplace but if your employer is plan is considered affordable you will not qualify for a tax credit to help pay for coverage affordable is employer based insurance that does not cost more than 9 5 of your annual income and pays for 60 of the medical care covered by your health plan
lately i have had pain towards the end of my urination after i am finished i also have to urinate more possible uti,if you are a female then yes a urinary tract infection uti would be a major consideration there are other possibilities but you would need to see your medical provider to have a screening urinalysis first
when should you start taking b 12 injections,when you have pernicious anemia or a clinical reason to do so otherwise there is no need to take b12 injections
another question regarding the prostate cancer but is not it wise to go see an oncologist someone that specializes in the treatment and study of cancer versus a family doctor,yes having a higher level opinion from a cancer specialist like an oncologist is recommended
i take zoloft is it safe to take an over the counter cold medicine,yes most over the counter cold medications are safe to take with zoloft you should check with your pharmacist who can recommend the best product for you that will help your specific symptoms and not interact with your prescription medications
what should i do if i suspect an overdose of depakote,if overdose is suspected contact your local poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canadian residents should call their local poison control center directly symptoms of overdose may include excessive drowsiness coma irregularslowedskipped heart beats heart block
can vitamin e help get rid of gentel warts,no vitamin e would be worthless in treating genital warts see a medical provider and get them treated properly
i work part time and do not have full health insurance coverage i have vision and dental coverage does this count as insurance under the aca,under the law you do not have insurance you must have a major medical health insurance plan dental and vision alone do not count i suggest you take a look at your state is marketplace to shop for insurance options you can do that at healthcare gov
what is the name of the medication that is needed for sepsis,many antibiotics are used to treat sepsis sepsis can be caused by many different organisms and an antibiotic is selected that best treats the organism that caused the sepsis
can a very large bowel movement appx 3 inch diameter 10 inch long cause bright red rectal bleeding 1 week later,yes you may have an anal fissure a tear please see your medical provider so you can be properly examined diagnosed and treated
if i am taking prescription adderall xr will a drug test show positive for amphetamines or methamphetamines,yes adderall contains amphetamines and will test positive on a drug test you should bring your prescription or a doctor is note with you to the test to verify that you are using adderall for medical reasons
how long are chicken pox contagious,about a day before the chicken pox breaks out and about a week or so later when the last of the chicken pox lesions dries up
why is r side of face numb drooping after strep strep was severe teeth ears neck glands all of head ached,this is not a normal sign of strep so it would be very important for you to be re examined bell is palsy would be one possibility but there are other neurological conditions that can mimic those symptoms
does smoking increase the risk of atherosclerosis,yes smoking causes blood levels of carbon monoxide to go up which may in turn increase risk of damage to artery linings tobacco use also raises ldl bad cholesterol and lowers hdlgood cholesterol constricts arteries and further decreases blood flow to tissues and makes blood more likely to clot even secondhand smoke seems to raise risk
to make informed decisions on which health insurance policy to sign up for it is important to understand upfront costs will companies disclose the negotiated fee schedules with consumers,i am not sure which fee schedule you refer to perhaps you are asking about what insurers pay doctors if so do not count on it insurers do not reveal those numbers to the public and often physician contracts forbid them from doing so as well
is it ok to use soap on my face when i take a shower or should i be using something else,soaps can be very drying and irritating to the skin of the face it is best to use facial cleansers even in the shower
what else causes foot rashes,foot rashes can be due to dermatitis dryness of skin allergic reaction to use of soap or detergent or any skin disease affecting foot like psoriasis or eczema athlete is foot is one of the major cause of foot rashes
any problems with accidentally taking the flu shot twice at age 69,no the only side effect is that you had to pay for it twice you will be just fine
how can i prevent nose bleeds ana are they linked to a deficiency of vitamins,there is no evidence that nose bleeds are linked to a deficiency in vitamins the only nutritionlifestyle related contributor is high blood pressure and smoking this article provides tips on prevention and potential causes
my daughter took her night and morning doses of lithium together by accident what should i do,whenever someone accidentally takes more of a medication than they should you should contact your doctor or pharmacist or call the poison control center you can access your local poison control center by calling 800 222 1222
my eyes give a yellow discharge day and night what can i do,a yellow purulent pus like discharge from the eyes is a sign of bacterial conjunctivitis this should be a treated with a prescription antibiotic ointment or drops specifically for the eyes your medical provider will need to give you a prescription if heshe agrees with this tentative diagnosis
what is heartburn,heartburn is a burning discomfort that is generally felt in the chest just behind the breastbone the burning sensation results when harsh stomach juices come in contact with and irritate the delicate lining of the esophagus it is also known as acid indigestion
can prostatitis cause burning of the vagina of my partner during ejaculation,no but just the act of vaginal sex can cause vaginal irritation prostatitis unless it is caused by a sexually transmitted disease is not likely to result in an infection in your female partner
how long or short does it take for a cyst to form,what kind of cyst you will need to re post your question with more information but basically there are no universal time parameters for the formation of any type of cysts
can a yeast infection cause trich,no a yeast infection is caused by a fungus yeast trichomoniasis trich is caused by a parasite a person can have both
can i nurse with stomach flu,yes as long as you stay well hydrated the viruses that cause stomach flu viral gastroenteritis would not likely go through your breast milk but you can transmit it to you baby by your hands so be very very diligent with hand washing especially after using the toilet
can i use lidocaine hydrochloride jelly on my knee i have rheumatoid arthritis degenerative joint disease major pain and my knee pops,topical lidocaine jelly will have no therapeutic effect on your joints sorry
are shingles spread just by being in the same room as someone who has it,it is my understanding that if you have not had chicken pox and are exposed to shingles you can actually catch chicken pox since they both come from the same virus but i do not think you can actually catch shingles
will hand feet and mouth diease cause you to lose your nails,i am not aware of any association with hand foot and mouth disease and nail loss
if my sugar level is at 300 and not taking medication what can i do,it appears that you do need medication or insulin since you appear to have diabetes you need to see your medical provider or a diabetic specialist and get this into control you will also need to follow a diabetic diet
is it safe to take xanax and adipex together,while there are no significant direct interactions between the two medications you should know that adipex can cause side effects similar to anxiety like rapid heart rate increased blood pressure and jitteriness if you take xanax to manage anxiety you may have more difficulty managing your condition on adipex talk to your health care professional to be sure adipex is right for you
i am always nervous and my heart beats too fast and sometimes i experience pain in chest and nervousness is it anxiety,you are describing classic signs of anxiety if you do not have any physical causes this sounds just like normal anxiety the trick here is to tell yourself that no matter how uncomfortable these sensations are you can handle them that way they will eventually pass but anxiety can be really scary at times even if there is nothing physical going on
does shingles have little seeds within blisters my sis has shingles and when they open it looks like little seeds coming out,blisters yes those blisters form in clusters seeds no but of course i have no way of seeing these seeds first hand so i do not know what you are describing
is there a blood test for ebola virus is there a blood test for ebola virus,i do not know how they test but i kno i heard on the news that it takes 24 to 48 hrs to confirm ebola
can i use albuterol sulfate in two hours instead of four,you cannot use albuterol sulfate every two hours instead of four you can develop a tolerance to this medication which means it may not work when you really need it if you are having difficulty breathing i would advise going to the er as soon as possible it could be a sign of something more serious
is it true that you should not take medicines with milk,most medications work best if taken with water there are certain foods that can affect the absorption of medication it is important to ask your pharmacist about taking medication with or without food with every new prescription you begin
pregnant 8 weeks started bleeding no pain after transvaginal ultrasound normal,very normal even if you have sex its normal to bleed after just not a bleed like a period if its like that then go get checked out they should of told you that after they was done i was pregnant 3 times and each time they told me something different but kinda still the same answer
should i use an electric toothbrush or a manual toothbrush,an electric toothbrush is not necessary people can do a great job with a manual toothbrush but i am a big fan of the electric toothbrushes they seem to remove more plaque from teeth than the manual brushes
is smoking hookah with non tobacco harmful or personal vaperizors thanks i dont know enough about both products,the medical profession and medical researchers have yet to render a definitive answer to that question they are being studied for sure basically any smoke that enters your lungs and respiratory tract has the potential to cause harm since these practices are not really necessary to enjoy your life why take the chance
if i decline coverage through my employer because i am covered under my wife is plan do i have to pay a penalty,no what matters is that you have qualified health insurance coverage you can get that in a number of ways through an employer whether it is yours or your spouse is by buying it coverage on your own through medicare medicaid the va etc as long as you have health insurance you will not be assessed a penalty
can the use of probiotics cause oral thrush,no oral thrush is caused by candida a yeast can it cause it when you have to take steriod injections
can amoxicillin turn a tongue black,a black tongue is not a side effect of taking amoxicillin
can you be constipated and have diarrhea i have diarrhea and was told i am constipated and the stool is stuck in my colon while i have diarrhea constantly,most definitely a person can have a blockage of dry hard stool constipation and still have a leakage of watery stool diarrhea around the hard constipated plug we can even see this on abdominal x rays the first treatment step in this case would be to get the constipated stool properly managed
can potassium help with leg cramps,low potassium is usually a sign of muscle weakness leg cramps are mostly caused by dehydration low magnesium or low blood calcium the best treatment for cramps is to rehydrate and replenish your electrolytes possibly with chicken or beef broth
what are the complications of orthostatic hypotension,falling is the most important complication of orthostatic hypotension most often the symptoms are transient and self limiting giving the patient a chance to sit down but when the drop in blood pressure causes syncope fainting or near syncope it is the trauma that is sustained in the fall that causes the most damage
can eat ice caused anemia,no this is an old wive is tale or a grandmother is tale
is there any product that will reduce the redness on the face from lupus,often when the lupus is under control the redness will naturally improve topical cortisone used for a week or so can be helpful under the supervision of your dermatologist also look for products that are fragrance and dye free to minimize irritation to the skin sun protection is critical as that is one of the main triggers of the redness
can i make my period late i am going out of town soon i was wondering if there was anyway i can delay my period,you can do this if are taking birth control pills but you need to call your medical provider for patient specific advice
do you get a fever with a viral throat infection,yes fever is the body is natural response to fighting off an infection
in 1977 i had a pilonadil cyst removed now i am in a wheelchair and it has comeback do i need surgery again,maybe but you will need to be carefully examined some cysts will spontaneous drain or rupture some may become secondarily infected and some may require surgical intervention
what problems would an overdose of otc potassium cause,this is a very serious question you have to be very careful with a supplement like potassium if the levels in the body become too high you can end up with heart problems like arrhythmias and possibly death
can u get a staph infection in the eye can u get a staph infection in the eye and if so how could an eye exam equipment cause one,yes staph can grow in or around the eye and yes it is possible that contaminated examination equipment could somehow contribute to an infection
im exercising for a month since not losing weight also cut down my meals,hi exercising very good for you but your muscles need food for them to work cutting back on food is not a good idea you need to be looking at foods that give you the most energy then this energy will burn fat sounds like a vicious circle but that is how it works good luck
are my wife and i considered a family when buying health insurance or do we have to have kids for this category,yes you and your wife are considered a family
can u pass a drug test after taking adderall without a perscription by using alka seltzer,alka seltzer will not change the results of drug screening test if the test specifically checks for adderall and you took it without having a medical prescription for it it will be detected as an amphetamine
what are the best kinds of otc products for under eye crow is feet and occasional puffiness,eye creams with caffeine in them can help reduce under eye puffiness topical retinoids vitamin a derivatives can also be helpful be careful when using retinoids around the eye because they can cause irritation botox is an excellent choice for crow is feet because it will help prevent the formation of these lines
how many calories do you burn passing a bowel movement,the calorie loss during the natural act of defecation would be close to zero unless of course you are having considerable constipation and straining you can burn 20 30 calories in one seating leave your hot seat and go and find some serious workout
i have had hep c for a long time but lately i have had pain under my ribs on my right side,talk to your doctor to see if it is your liver causing the pain if it is muscular or your ribs themselves causing the pain you may be able to garner some relief through the use of an orthopedic rib belt such as this one link
is nitroglyerin used during a exercise stress test,let is hope not nitroglycerine would only be used if you started to have angina type chest pain
how can i prevent hiv from progressing to aids,you can help prolong your life by taking good care of yourself and developing a good relationship with an experienced doctor specializing in hiv and aids also be consistent about taking your hiv medications as prescribed and getting regular lab work to catch any problems early
can stomach acid or gas come out of the belly button,no the belly button is not open to the intestines or stomach
what is epilepsy,epilepsy is a group of conditions marked by recurrent seizures over a prolonged period of time with no identifiable short term cause
should i have x rays taken every six months when i get my teeth cleaned i have heard the radiation is bad for you,the ada recommendation is every 6 12 months for a child or adolescent with a history of decay but it could be as infrequent as every 12 24 months for an adult with no history of decay so i would discuss it with your dentist
can trichomoniasis be spread by any means other than sexual intercourse,the unlikely sharing of sex toys or soiled underwear would do it but in most cases trichomoniasis a sexually transmitted parasite is primarily spread by sexual activity
how many milligrams of benadryl should be taken for an allergic reaction to food,the usual adult dose is 25 mg but more severe reactions may require 50 mg a child of course would take a considerable less dose since i do not know the age or weight of the person you are treating please make sure to use the appropriate dose
how long after receiving the shingles vaccine should i wait to be around a newborn baby,i received the shingles vaccine on sunday monday and tuesday night i had a difficult time sleeping due to the pain my arm has a large hard knot is red slight rash hot to touch itching and painful is this normal
my household got the flu this past week and my son was with his sister sun mon she got the flu can we get it again,hi its quite possible that you can get the flu again as your body system will still be low just after flu is a time to be careful good luck
can ciprodex otic be used in the eye,absolutely not
i have seen advertisements for supplements called vimax and extenze for penis enlargement are these products safe,since supplement products like these are not regulated by the fda like medications nor tested for safety or efficacy i really do not have any information to determine if they are safe as a pharmacist i generally steer my patients away from supplements like these because they have no proof of safety or efficacy and are usually just a big waste of money
what is the difference between ovarian cancer and cysts on your ovaries,ovarian cancers are very serious ovarian cysts are considered benign non cancerous there are many different kinds of ovarian cysts cysts are usually filled with fluid and some ovarian cysts resolve on their own ovarian cancers are typically solid masses and require an expert diagnosis and treatment plan
if i had a tumor for 20 yrs and had it removed a biopsy says its cancer does that mean i have had cancer for 20 yrs,unfortunately i do not have enough patient specific information to address your question sometimes when cancer is removed it is gone forever the fact that this happened twenty years ago may be proof that your cancer whatever type that you had is no more
i have discomfort in my throat feels like cold stuck there weeks now after oral sex what u think it is,stay away from oral sex there were recent discoveries of spreading conditionsdiseasevirus through oral sex so stay safe and dont do it
can i use mineral oil to treat an ear infection effectively,no i am sorry but mineral oil will not be an effective treatment for an ear infection
what are the ingredients of boniva injection,active ingredient ibandronate sodium inactive ingredients sodium chloride glacial acetic acid sodium acetate and water
can high blood pressure cause ringing in the ears,yes but so can about a hundred other things so it would be wise to seek a medical evaluation looking for other causes as well
does 2 or 2 12 glasses of wine a day caues high blood preasure,no
are fever blisters a sign that someone also has genital herpes,hi yes its better known as a breakout ok good luck
can a 14 year old take robitussin or any cold medicine when taking lexapro,yes robitussin is safe to take with lexapro i suggest you talk to a pharmacist who can recommend a product that is safe to take with lexapro one that can treat your specific symptoms if the robitussin does not work
what is flu shots do they make you get the flu when you get the flu shot,you cannot catch the flu influenza from a flu shot or the nasal vaccine it is biologically incapable of causing the actual illness the flu vaccine only helps protects against true influenza not colds and not the stomach flu which is not a form of influenza
where is the safest place to inject heparin when you are pregnant,heparin is given as a subcutaneous injection there are three areas recommended for administration of a subcutaneous injection the upper arm the abdomen or the thigh i would avoid the stomach area for injection since you are pregnant you will need a partner to give the injections since the locations available for administration are difficult to reach on your own
is it safe to use back massager while pregnant,i cannot see that a back massage would have any detriment to you or your baby but it is always best to check with your ob is office for patient specific advice someone who knows you and is managing your pregnancy
what is a mammogram,a mammogram is a series of specialized x rays of the breast used to detect abnormal growths or changes in the breast tissue
what is a ct scan related to diagnosing dementia,a ct scan computed axial tomography cat is a technique in which multiple x rays of the body are taken from different angles in a very short period of time these images are collected by a computer to give a series of images that look like slices of the body in diagnosing dementia ct scans can reveal tumors and small strokes in the brain
what should i do if someone takes an overdose of zerit,if you suspect that you or someone else has taken an overdose of zerit get medical help right away contact a doctor or a poison control center
can a toothpaste be natural and still have fluoride,there are many people in the natural camp that think fluoride is dangerous this does not take into account how it is used fluoride prevents tooth decay and used properly is not a poison or a health risk
does a daily magnesium supplement of 400 mg have any effect on the effectiveness of the birth control pill kariva,magnesium supplements should have no adverse effects with hormonal birth control
should one get vaccinated for shingles again in 5 or 10 years as a booster provided shingles does not present itself,yes
can you get sti is from oral sex is oral sex safe how great is the risk of getting a sti from oral sex,yes many std is can be transmitted orally
is a person covered if they got an expired flu shot should they get another one,expired how long expired my concern would be that you did not get this season is influenza strain but last years if this is the case get another one and make sure it is for free
i got my first deposhot a week before my cycle is supposed to start when can i stop using protection with my partner,remember that the protection is not just for pregnancy it is for the prevention of a sexually transmitted disease unless you are 100 sure no 200 sure of the absolute fidelity of your partner under every concieveable circumstance now and in the past it is best to keep condoms in your routine
when you have almost constant hoarseness and sore throat and some trouble swallowing what doctor should i go see,an ent ear nose and throat specialist
is expired birth control still effective,i would not trust them get some new ones and use a condom in the meantime
can any foods help stimulate collagen development for my skin,yes foods that are rich in vitamin c help build collagen these include various citrus foods such oranges limes and lemons anthocyanin is also helpful and can be found in dark berries such as blueberries blackberries cherries and raspberries also consider adding more red vegetables to your diet such as red peppers beets and tomatoes which are all high in lycopene
my blood work shows that my liver levels are elevated what is the cause and what can i do to improve the levels,i do not know anything about you your medical history your habits etc to be able to narrow down the many causes of elevated liver enzymes so you will need to discuss this with your medical provider
how many calories do you burn passing a bowel movement,you can burn 20 30 calories in one seating leave your hot seat and go and find some serious workout
bathing tips for post inguinal hernia surgery at home any soap or anti bacterial soap are showers o k,hi showers would be ok with just normal soap or a neutral soap but if its a bath do it with sea salt a couple of handfuls with each bath and again just a normal soap or a neutral one the sea salt will help to clean and heal your wound do hope this helps good luck
what is an antioxidant related to heart disease,antioxidants include vitamins a c and e that may help to limit the cellular damage caused by free radicals which are released when tissue is being injured such as during the progression of heart disease studies suggest that certain antioxidants may protect against coronary artery disease
i cannot fully open my mouth when i do i hear a clicking noise and immediatley get a severe sharp pain in my ear,see a dentist that specializes in tmj temporomandibular joint disorders you will need a thorough examination and some imaging studies
what is the best time of day to exercise to lose weight specifically if i am walking on a treadmill,the perfect time is the time of the day that you feel motivated and you feel like exercising for most people it will be every morning but it will actually depend on the kind of lifestyle that you have nyc derm link
what is metchicillin resistant staphylococcal aureus,this webmd site should help you link
can hydrocodone cause swollen feet i am taking formulated hydrocodone no tylenol and been having problems with swallen feetankles i also have i blood pressure and take benecar just recently dropped bystolic,there can be many reasons but the use of hydrocodone is not likely to be the cause of your swollen feet and ankles you will need to see your medical provider someone who knows you and your medical history and someone who has the ability to examine you order any diagnostic tests etc in order to solve this mystery
can you use tampons if you have hsv,most helpful answer yes the use of tampons is not contraindicated if you have hsv herpes simplex virus although depending on the location of the herpetic lesions inserting a tampon could be uncomfortable it is really up to you to use tampons or not
if your employer offers health insurance do you have to take it or can you choose insurance under the aca,you are welcome to shop for insurance coverage in your state is marketplace but if your employer insurance is considered affordable meaning it costs less than 9 5 of your income and covers at least 60 of your medical expenses you will not qualify for federal subsidies
can you take cipro for cold in the chest,cipro is an antibiotic used for certain types of bacterial infections colds are viruses so antibiotics are ineffective if you are self diagnosing and self treating i would not recommend it
how much tylenol can a 9 week pregnant woman safely take,a pregnant woman can take up to 4 grams of acetaminophen daily as per the regular adult dose for this medication it has been used and proven safe to take during pregnancy
can mri be used to diagnose colon disease,an mri can be useful in many aspects of colon disease but some medical issues require other studies lab colonoscopy etc
i am a female who tested positive for chlamydia and 5 days into treatment i masturbated with a showerhead im scared help,hi why just answer through answer this above
will quit smoking stress the baby,no i think the baby will be absolutely thrilled that you have stopped smoking
can i use expired prescription eye medications for the treatment of pink eye,i do not know i would need to know the name of the prescription eye medication when it has expired and if the person that is being treated now was accurately diagnosed one source of this information would be to call the pharmacist that filled this prescription
tight chest its hard to breath and catch my breath coughing for weeks now with phlegm inthroat that i am not coughing up,call 911 or other emergency services immediately if you have any chest tightness or trouble breathing
i have not engaged in sex for seven plus years now i am having difficulty with my partner inserting what do i do,be patient and take it slow make sure to use a good lubricant share your anxiety with your partner so he can be sensitive to your needs if you feel there is some mechanical issue vaginal dryness stricture etc it would be wise to see your woman is health specialist for an examination
what is mirapex for parkinson is disease,mirapex pramipexole is a newer dopamine agonist that is tolerated better and is more effective
i have a rx for omnicef that i have have since 413 is it still good to use for sore throat swollen tonsils stuffy nose,most sore throats are viral especially when sore throats are accompanying a stuffy nose you most likely have a bad cold and may not need a self prescribed antibiotic at all i am not a big fan of people randomly taking leftover and expired antibiotics as you can see
do doctors recommend use of otc allergy and cold remidies that are expired sinus medicine doxylamine phenylephrine acetaminophen allergy med loratadine supplements vitamin c zinc vitamin d,any doctor will tell you do not use a medication if it is expired even otc meds i used to work in the medical field i will say things were more strict back then but expired drugs has not changed much hope this helps
can multiple sclerosis be transmitted through sex,absolutely not
does social security disability count as income when buying health insurance,it depends on whether your disability payments are part of your adjusted gross income on your tax filings if you have other sources of income ss disability payments can be taxed otherwise they are generally non taxable and would be excluded from the income used to calculate a premium subsidy
can fruit make you gain weight,fruit has calories excessive calories regardless of the source can lead to weight gain fruit is an excellent source of nutrients and should be a part of all balanced diets in moderation fruit is wonderful
i am 39 and have been on the pill for 15 years what kind of symptoms can i expect if i stop using it,well you could become pregnant so there are those symptoms but otherwise there are really no adverse issues your menses may not be as regular and predictable as when you were on the pill your period could be heavier or lighter or every person is different so you will just have to see what happens
can the tongue become larger as we age,yes tongue enlargement is usually harmless unless it is secondary to a systemic disease like hypothyroidism medical andor surgical management may be necessary see your doctor to rule out any specific medical problems
what do i do in case of an overdose of relpax,call your doctor or poison control center or go to the emergency room
what is the best way to rid yourself of nasty little bedbugs,call a pro
is diabetes hereditary,yes there can be an hereditary relationship but not obviously not every family member will end up with diabetes
does a person who is not working have to have health insurance,if you make too little income to file taxes you will not be required to have insurance however you should check to see if your state is expanding medicaid you may qualify for coverage if it is
what is parkinson is disease,parkinson is disease is a progressive nervous system disease with an unknown cause in which nerve cells in a specific area of the brain begin to die off people with parkinson is disease lack the neurotransmitter dopamine and have symptoms such as tremors speech impairments movement difficulties and often dementia later in the course of the disease
will a yeast infection occur if you are not taking your insulin,yeast infections can occur on anyone any age whether they are a diabetic and taking insulin or not
how do cataracts develop,age related cataracts develop when the lens which consists mostly of water and protein clumps together this produces clouding of the lens and reduces the amount of light that reaches the retina the clouding may become severe enough to cause blurred vision cataracts can also develop from exposure to ultraviolet radiation eye injuries eye diseases certain medications or diabetes
what is ulcerative colitis,ulcerative colitis is a disease that causes inflammation and sores called ulcers in the superficial layers of the lining of the large intestine the inflammation usually occurs in the rectum and lower part of the colon but it may affect the entire colon ulcerative colitis rarely affects the small intestine except for the lower section called the ileum
i had liver spots as a child and it looks like they are back my skin is blotchy and two toned can i get rid of them,the term liver spots is somewhat of a misnomer liver spots are typically not related to any diseases of the liver most of these changes are due to age sun damage or solar lentigo your first approach is to exclude any potential skin cancers once this is accomplished a combination of glycolic peels and skin brightening agents will improve your skin
i have a really bad oder coming from my vagina even after i washed it,vaginal odor is often a sign of infection typically a bacterial or trichimonas so you may need to see your medical provider for an examination another common cause is a retained tampon even if you think this could never happen
can you test positive from having the hep b vaccine,test positive for what if you had a hep b vaccine a subsequent blood test should indicate that you now have hep b antibodies present in your blood if this is what you mean
how is portal hypertension diagnosed,usually doctors make the diagnosis of portal hypertension based on the presence of ascites or of dilated veins or varices as seen on physical exam of the abdomen or the anus various lab tests x ray tests and endoscopic examinations may also be used
is a temerature of 96 ok if there is a sore throat involved,a lower than normal body temperature of 96 is just fine if you are room temperature it would be time to worry slightly lower body temperatures is not uncommon in viral infectons perhaps the cause of your sore throat
what can health care providers do to prevent extensively drug resistant xdr tuberculosis,health care providers can help prevent multidrug resistant mdr and extensively drug resistant xdr tuberculosis by quickly diagnosing cases following recommended treatment guidelines monitoring patients' response to treatment and making sure therapy is completed providers should also ensure proper implementation of infection control procedures to prevent exposure to tb in hospitals or health care settings where tb patients are likely to be seen
how much protein should an adult female eat every day,most people aged 9 and older should eat 5 to 7 ounces of protein a day
i am 26 and i have started developing some wrinkles i want to get rid of them can you please help,the single most important treatment for your age group is proper sun protection the majority of wrinkles up to 90 are caused by sun exposure if you simply moisturize and use proper sun smart behavior some wrinkles will naturally soften or disappear the next step would be to look for products that contain retinol retinyl propionate tretinoin retinoic acid
if a person is in the hospital with hiv and pneumonia can he have visitors,i hope so but that would depend on the state of his illness and the specific cause of the pneumonia he may be in protective isolation where you have to gown up and wear a mask call the nurse is station where he is hospitalized and they will tell you if there can be visitors my best to your friend
i did a minor surgery for stye eye while on accutane is it ok to do this type of surgery while on accutane accutane isotretinoin,yes a sty hordeolum is unrelated to acne and it can be treated surgically while you are on accutane
what are the symptoms of an adult brain tumor,a doctor should be seen if the following symptoms appear frequent headaches vomiting loss of appetite changes in mood and personality changes in ability to think and learn seizures
can penicillin treat herpes symptoms symptoms like swollen glands fever sore throat etc,not at all herpes is a virus and penicillin only treats certain bacterial infections it will not work for herpes
can an enlarged prostate interfer with bowel movement,maybe but there are so many other factors to consider do not just blame an enlarged prostate see your medical provider so you can be properly examined and treated
6 yrs smoke free before smokin 4 months free again before having 1 joint 3 weeks ago piss test free male 59 yrs 230 lbs 6'2',that depends on the sensitivity of the test your body is ability to clear thc from the system and some luck there is always a possibility that your urine test will show traces at three weeks
what should i do if i suspect an overdose of laxative senna,if overdose is suspected contact a poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center symptoms of overdose may include severe stomachabdominal pain or cramping persistent nauseavomitingdiarrhea
i was shot in my left eye with an bb gun at age 13 and i am blind in it can you help me to regime my sight,no i cannot help you regain your sight but by seeing a ophthalmologist at a large university based medical center you may be able to benefit from having a high level evaluation if there were any way to restore your sight based on this exam i am sure they would discuss it with you
i am going to be 65 next june and was wondering what is the best supplemental insurance plan to use with medicare,i would suggest you contact your state health insurance assistance program for free unbiased help selecting a plan find your local program by visiting the medicare gov medicare helpful contacts page or by calling 1 800 medicare 1 800 633 4227
how many shots of the chickenpox vaccine are needed,the varicella vaccine is given in two doses the first shot at the age of 12 to 18 months and the second shot at the age of 4 to 6 years older children and adults should have two shots with four to eight weeks between the first and second shot
how can i manage shortness of breath during pregnancy,shortness of breath can occur due to increased upward pressure of the uterus recommendations when walking slow down and rest a few moments raise your arms over your head this lifts your rib cage and allows you to breathe in more air avoid lying flat on your back and try sleeping with your head elevated
if you have sex on a day when you are not fertile and he cums inside you can you get pregnant,hi if the was before your ovulation day say by 3v days then yes you could get pregnant male sperm can live inside you for 7 days once it gets to the right place as it sits waiting for your egg do hope this helps you good luck
what is prednisolone used for,this is a good example of a question that you can ask your pharmacist prednisolone is a steroid that has anti inflammatory properties it is used to treat a variety of inflammatory conditions including asthma colitis skin rashes and allergic and inflammatory conditions of the nose and eye
